state,yearofloss,amount_paid,cum_paid
GU,1990,1416.55,13597.550000000001
HI,1990,99683.12999999999,10668118.3
IA,1990,8375248.78,11543551.5
ID,1990,44752.1,560327.62
IL,1990,2792759.09,82688915.06
IN,1990,10227174.56,24134276.240000002
KS,1990,362191.48000000004,13639417.9
KY,1990,1828116.97,58655585.980000004
LA,1990,27539077.9,578290581.63
MA,1990,1290810.89,43945277.99
MD,1990,20487.82,20950356.92
ME,1990,225181.38999999998,15634683.04
MI,1990,223850.56,23169691.55
MN,1990,141303.93,17773710.740000002
MO,1990,12702515.370000001,118308108.11
MS,1990,9214772.29,114138539.49
MT,1990,68150,2065363.08
NC,1990,1316160.19,35580077.04
ND,1990,0,9616750.36
NE,1990,511399.36,9992964.469999999
NH,1990,20974.859999999997,3466068.0700000003
NJ,1990,1955080.32,122914517.08
NM,1990,31281.11,523394.04
NV,1990,415858.38999999996,2343576.35
NY,1990,2150478.14,114614441.77
OH,1990,4116010.38,35644236.32
OK,1990,1485140.16,60949129.88
OR,1990,365495.52999999997,3189286.68
PA,1990,2019936.32,68264308.67
PR,1990,289345.47,37109580.25
RI,1990,10365.4,7701764.75
SC,1990,652351.5700000001,372866967.21000004
SD,1990,0,1175654.3800000001
TN,1990,3607700.51,14550971.18
TX,1990,23665062.78,726068610.9300001
VA,1990,610560.15,59962308.64
